[Star/Star]   [Fe/H] [C/Fe] [N/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [S/Fe] [K/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Sr/Fe] [Y/Fe] [Ba/Fe] [Zr/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
 76272        -0.42   0.18  -30.0  0.33  0.06  0.09  0.09  0.07   0.12  0.26  0.04  0.08  0.06  0.02 -0.02 -0.15  0.00 -0.01 -0.11  0.12  0.00 -0.04 -30.0 -0.05 -0.07 -0.01 -30.0
 76349        -0.44   0.13  -30.0  0.28  0.07  0.08  0.06  0.05   0.10  0.26  0.00  0.03  0.02 -0.06 -0.02 -0.14 -0.05 -0.02 -0.08  0.09 -0.05 -0.08 -0.09 -0.04 -0.10 -30.0 -30.0
 77134        -0.29   0.11  -30.0  0.21 -0.04  0.06  0.00  0.03   0.12  0.08  0.00 -0.06  0.00 -0.05 -0.04 -0.18 -0.06 -0.06 -0.15 -0.04  0.06  0.09 -30.0  0.13  0.13 -30.0 -30.0
 77408        -0.23   0.00  -30.0  0.14  0.01  0.11  0.11  0.02  -0.02  0.28  0.02 -0.02 -0.02 -0.03  0.00 -0.19 -0.04 -0.04 -0.15 -0.05 -0.55 -30.0 -30.0  0.05  0.01 -30.0 -30.0
 80218        -0.28   0.21   0.44  0.38  0.01  0.11  0.06  0.09   0.08  0.33  0.04  0.04  0.04 -0.06 -0.04 -0.20 -0.02 -0.03 -0.06  0.08  0.33  0.26  0.16  0.00 -0.07  0.04  0.05
 85902        -0.53   0.25  -30.0  0.36  0.07  0.06  0.10  0.03   0.25  0.11  0.03  0.04 -0.01 -0.04 -0.02 -0.06 -0.04 -0.03 -0.05  0.21 -0.03  0.00 -0.06 -0.04  0.11  0.08 -30.0
 86560        -0.41   0.24  -30.0  0.33  0.03  0.09  0.08  0.04   0.17 -30.0  0.03  0.07  0.01 -0.01 -0.01 -0.18 -0.03 -0.02 -0.05  0.11 -0.12 -0.09 -30.0 -0.11 -0.13  0.06 -30.0
 86884        -0.28   0.10  -30.0  0.27  0.05  0.08  0.11  0.04   0.04  0.30  0.02 -30.0  0.04 -0.02 -0.01 -0.13 -0.02 -0.02 -0.07  0.06  0.06 -0.01  0.08  0.01 -0.02  0.00  0.12
 87838        -0.43  -0.04  -30.0  0.22  0.04  0.14  0.07  0.08   0.02  0.24  0.02  0.05  0.05 -0.04  0.00 -0.19  0.02 -0.02 -0.08  0.07 -0.05 -0.08  0.01 -0.05 -0.08 -0.01  0.21
 88446        -0.35   0.34  -30.0  0.41  0.06  0.15  0.12  0.09   0.14  0.32  0.07  0.12  0.10  0.00 -0.04 -0.22  0.01 -0.01 -0.06  0.10  0.57  0.58  0.65  0.66  0.58  0.69  0.24
