[Fe/H] [FeII/H] [Obrac/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Si/Fe] [Ca/Fe] [Ti/Fe] [TiII/Fe] [alpha/Fe] [Sc/Fe] [V/Fe] [Cr/Fe] [CrII/Fe] [Mn/Fe] [Ni/Fe] [Zn/Fe]
-0.65 -0.03 -30.0 -30.0 0.15 0.45 0.28 0.26 0.21 0.23 0.30 -30.0 0.07 -0.03 -30.0 -30.0 -0.01 -30.0
-1.09 -0.07 -30.0 0.40 -0.31 0.20 0.06 0.21 0.11 0.13 0.15 -0.12 -0.10 -0.10 -0.07 -0.41 -0.20 -30.0
-1.17 -0.06 0.46 0.46 -0.05 0.33 0.17 0.26 0.14 0.17 0.23 -0.04 0.03 -0.07 0.03 -0.29 -0.05 -0.10
-0.73 0.00 0.13 -30.0 0.18 0.36 0.22 0.20 0.04 0.06 0.21 -30.0 0.01 -0.06 -30.0 -30.0 -0.05 -30.0
-0.88 0.21 -30.0 -30.0 0.38 0.37 0.56 0.32 0.31 0.35 0.39 -30.0 0.20 -0.07 -30.0 -30.0 0.13 -30.0
-1.16 -0.08 0.73 0.84 0.15 0.52 0.41 0.35 0.25 0.31 0.39 0.13 0.04 -0.11 -0.04 -0.35 0.01 0.16
-1.75 -0.08 -30.0 -30.0 -0.37 0.37 0.23 0.29 0.18 0.12 0.26 -30.0 0.12 -0.11 -30.0 -30.0 -0.10 -30.0
-0.34 0.02 -30.0 0.25 -0.09 0.30 0.06 0.14 0.17 0.12 0.16 0.06 0.11 0.03 0.01 -0.02 -0.07 -0.01
-0.55 0.00 -30.0 0.35 0.06 0.42 0.20 0.21 0.25 0.31 0.28 0.16 0.12 0.00 0.04 -0.22 -0.04 0.08
-1.10 -0.13 0.76 0.56 0.09 0.46 0.26 0.26 0.19 0.18 0.29 0.17 -0.04 -0.13 -0.07 -0.28 -0.04 0.01
-0.83 -0.07 -30.0 -30.0 0.19 0.53 0.34 0.42 0.25 0.21 0.38 -30.0 0.22 -0.01 -30.0 -30.0 -0.07 -30.0
-0.73 -0.07 -30.0 -30.0 0.17 0.52 0.29 0.30 0.24 0.25 0.34 0.05 0.05 -0.02 -0.06 -0.30 -0.01 0.09
-1.16 -0.05 0.53 0.59 0.08 0.45 0.32 0.30 0.17 0.21 0.32 -0.02 0.03 -0.15 -0.15 -0.44 -0.04 -30.0
-2.01 -0.03 -30.0 -30.0 0.14 0.51 0.39 0.31 0.34 -30.0 0.39 -30.0 0.24 -0.04 -30.0 -0.34 0.13 -0.05
-0.60 0.03 -30.0 -30.0 0.20 0.44 0.28 0.24 0.29 0.17 0.30 -30.0 0.15 0.09 -30.0 -30.0 -0.04 -30.0
-0.59 -0.07 -30.0 -30.0 0.17 0.31 0.15 0.17 0.07 0.03 0.17 -30.0 0.14 -0.11 -30.0 -30.0 -0.03 -30.0
-0.84 -0.02 -30.0 -30.0 0.02 0.45 0.31 0.28 0.29 0.25 0.32 -30.0 0.12 0.01 -30.0 -30.0 -0.08 -30.0
-1.62 0.03 -30.0 0.70 -0.01 0.47 0.28 0.42 0.36 0.30 0.37 -0.11 0.17 -0.11 -0.08 -0.24 -0.21 0.14
-1.56 -0.06 0.42 0.67 0.10 0.52 0.41 0.32 0.20 0.26 0.37 0.00 -0.08 0.12 -0.05 -0.46 -0.08 0.26
-1.87 0.04 -30.0 -30.0 0.17 0.45 -30.0 0.47 0.38 0.35 0.43 -30.0 -30.0 -0.08 -30.0 -30.0 0.01 -30.0
-0.63 0.10 -0.03 0.23 0.07 0.28 0.21 0.05 -0.10 0.09 0.13 -0.07 -0.24 -0.07 -0.07 -0.22 -0.02 0.15
-0.63 0.25 0.05 0.19 0.12 0.25 0.20 0.05 -0.10 0.23 0.14 -0.04 -0.34 -0.02 0.30 -0.19 0.07 0.39
-0.58 0.42 -30.0 -30.0 0.07 0.41 0.54 0.05 -0.12 0.25 0.27 -30.0 -0.12 -0.28 -30.0 -30.0 0.09 -30.0
-0.77 -0.10 -30.0 -30.0 0.24 0.38 0.13 0.20 0.04 0.08 0.19 -30.0 0.11 -0.10 -30.0 -30.0 -0.03 -30.0
-0.79 -0.05 -30.0 -30.0 0.16 0.54 0.32 0.29 0.22 0.28 0.35 -30.0 -0.01 -0.02 -30.0 -30.0 0.01 -30.0
