H AGB yields: Lugaro et al. (2012), Karakas et al. (2016, 2018)
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
&Ar-40    &3.473e-08  &0.000e+00  &18 &40
&K-39     &5.583e-06  &0.000e+00  &19 &39
&K-40     &1.195e-10  &0.000e+00  &19 &40
&K-41     &4.235e-07  &0.000e+00  &19 &41
&Ca-40    &9.666e-05  &0.000e+00  &20 &40
&Ca-42    &6.774e-07  &0.000e+00  &20 &42
&Ca-43    &1.447e-07  &0.000e+00  &20 &43
&Ca-44    &2.288e-06  &0.000e+00  &20 &44
&Ca-46    &4.587e-09  &0.000e+00  &20 &46
&Ca-48    &2.238e-07  &0.000e+00  &20 &48
&Sc-45    &6.455e-08  &0.000e+00  &21 &45
&Ti-46    &3.944e-07  &0.000e+00  &22 &46
&Ti-47    &3.634e-07  &0.000e+00  &22 &47
&Ti-48    &3.677e-06  &0.000e+00  &22 &48
&Ti-49    &2.755e-07  &0.000e+00  &22 &49
&Ti-50    &2.691e-07  &0.000e+00  &22 &50
&V-51     &5.931e-07  &0.000e+00  &23 &51
&Cr-52    &2.432e-05  &0.000e+00  &24 &52
&Cr-53    &2.810e-06  &0.000e+00  &24 &53
&Cr-54    &7.127e-07  &0.000e+00  &24 &54
&Mn-55    &2.123e-05  &0.000e+00  &25 &55
&Fe-54    &1.399e-04  &0.000e+00  &26 &54
&Fe-56    &2.278e-03  &0.000e+00  &26 &56
&Fe-57    &5.354e-05  &0.000e+00  &26 &57
&Fe-58    &7.250e-06  &0.000e+00  &26 &58
H Table: (M=1.75,Z=0.03)
H Lifetime: 2.183e+09
H Mfinal: 6.253e-01
&Isotopes &Yields     &X0         &Z &A
&H-1      &7.404e-01  &0.000e+00  &1  &1
&H-2      &4.784e-06  &0.000e+00  &1  &2
&He-3     &6.290e-04  &0.000e+00  &2  &3
&He-4     &3.514e-01  &0.000e+00  &2  &4
&Li-7     &9.040e-10  &0.000e+00  &3  &7
&C-12     &3.746e-03  &0.000e+00  &6  &12
&C-13     &1.911e-04  &0.000e+00  &6  &13
&N-14     &3.754e-03  &0.000e+00  &7  &14
&N-15     &2.137e-06  &0.000e+00  &7  &15
&O-16     &1.379e-02  &0.000e+00  &8  &16
&O-17     &2.435e-05  &0.000e+00  &8  &17
&O-18     &2.335e-05  &0.000e+00  &8  &18
&F-19     &8.826e-07  &0.000e+00  &9  &19
&Ne-20    &2.794e-03  &0.000e+00  &10 &20
&Ne-21    &7.034e-06  &0.000e+00  &10 &21
&Ne-22    &2.189e-04  &0.000e+00  &10 &22
&Na-23    &8.307e-05  &0.000e+00  &11 &23
&Mg-24    &1.333e-03  &0.000e+00  &12 &24
&Mg-25    &1.758e-04  &0.000e+00  &12 &25
&Mg-26    &2.013e-04  &0.000e+00  &12 &26
&Al-27    &1.283e-04  &0.000e+00  &13 &27
&Si-28    &1.476e-03  &0.000e+00  &14 &28
&Si-29    &7.761e-05  &0.000e+00  &14 &29
&Si-30    &5.293e-05  &0.000e+00  &14 &30
&P-31     &1.474e-05  &0.000e+00  &15 &31
&S-32     &7.072e-04  &0.000e+00  &16 &32
&S-33     &5.839e-06  &0.000e+00  &16 &33
&S-34     &3.396e-05  &0.000e+00  &16 &34
&S-36     &1.676e-07  &0.000e+00  &16 &36
&Cl-35    &7.255e-06  &0.000e+00  &17 &35
&Cl-37    &2.451e-06  &0.000e+00  &17 &37
&Ar-36    &1.351e-04  &0.000e+00  &18 &36
&Ar-38    &2.593e-05  &0.000e+00  &18 &38
&Ar-40    &4.374e-08  &0.000e+00  &18 &40
&K-39     &7.034e-06  &0.000e+00  &19 &39
&K-40     &3.399e-10  &0.000e+00  &19 &40
&K-41     &5.336e-07  &0.000e+00  &19 &41
&Ca-40    &1.218e-04  &0.000e+00  &20 &40
&Ca-42    &8.534e-07  &0.000e+00  &20 &42
&Ca-43    &1.823e-07  &0.000e+00  &20 &43
&Ca-44    &2.882e-06  &0.000e+00  &20 &44
&Ca-46    &5.778e-09  &0.000e+00  &20 &46
&Ca-48    &2.819e-07  &0.000e+00  &20 &48
&Sc-45    &8.132e-08  &0.000e+00  &21 &45
&Ti-46    &4.968e-07  &0.000e+00  &22 &46
&Ti-47    &4.578e-07  &0.000e+00  &22 &47
&Ti-48    &4.633e-06  &0.000e+00  &22 &48
&Ti-49    &3.470e-07  &0.000e+00  &22 &49
&Ti-50    &3.391e-07  &0.000e+00  &22 &50
&V-51     &7.472e-07  &0.000e+00  &23 &51
&Cr-52    &3.063e-05  &0.000e+00  &24 &52
&Cr-53    &3.540e-06  &0.000e+00  &24 &53
&Cr-54    &8.979e-07  &0.000e+00  &24 &54
&Mn-55    &2.675e-05  &0.000e+00  &25 &55
&Fe-54    &1.763e-04  &0.000e+00  &26 &54
&Fe-56    &2.870e-03  &0.000e+00  &26 &56
&Fe-57    &6.746e-05  &0.000e+00  &26 &57
&Fe-58    &9.134e-06  &0.000e+00  &26 &58
H Table: (M=1.9,Z=0.03)
H Lifetime: 1.736e+09
H Mfinal: 6.414e-01
&Isotopes &Yields     &X0         &Z &A
&H-1      &8.314e-01  &0.000e+00  &1  &1
&H-2      &8.185e-06  &0.000e+00  &1  &2
&He-3     &6.642e-04  &0.000e+00  &2  &3
&He-4     &3.904e-01  &0.000e+00  &2  &4
&Li-7     &1.517e-09  &0.000e+00  &3  &7
&C-12     &4.426e-03  &0.000e+00  &6  &12
&C-13     &2.046e-04  &0.000e+00  &6  &13
&N-14     &3.928e-03  &0.000e+00  &7  &14
&N-15     &2.579e-06  &0.000e+00  &7  &15
&O-16     &1.543e-02  &0.000e+00  &8  &16
&O-17     &2.678e-05  &0.000e+00  &8  &17
&O-18     &2.715e-05  &0.000e+00  &8  &18
&F-19     &9.865e-07  &0.000e+00  &9  &19
&Ne-20    &3.128e-03  &0.000e+00  &10 &20
&Ne-21    &7.874e-06  &0.000e+00  &10 &21
&Ne-22    &2.449e-04  &0.000e+00  &10 &22
&Na-23    &9.309e-05  &0.000e+00  &11 &23
&Mg-24    &1.492e-03  &0.000e+00  &12 &24
&Mg-25    &1.967e-04  &0.000e+00  &12 &25
&Mg-26    &2.253e-04  &0.000e+00  &12 &26
&Al-27    &1.437e-04  &0.000e+00  &13 &27
&Si-28    &1.652e-03  &0.000e+00  &14 &28
&Si-29    &8.687e-05  &0.000e+00  &14 &29
&Si-30    &5.924e-05  &0.000e+00  &14 &30
&P-31     &1.649e-05  &0.000e+00  &15 &31
&S-32     &7.916e-04  &0.000e+00  &16 &32
&S-33     &6.536e-06  &0.000e+00  &16 &33
&S-34     &3.801e-05  &0.000e+00  &16 &34
&S-36     &1.876e-07  &0.000e+00  &16 &36
&Cl-35    &8.120e-06  &0.000e+00  &17 &35
