H CC SNe yields: Nomoto et al. (2013), 0% HNe
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
H Isotopes: H-1, H-2, He-3, He-4, Li-6, Li-7, Be-9, B-10, B-11, C-12, C-13, N-14, N-15, O-16, O-17, O-18, F-19, Ne-20, Ne-21, Ne-22, Na-23, Mg-24, Mg-25, Mg-26, Al-27, Si-28, Si-29, Si-30, P-31, S-32, S-33, S-34, S-36, Cl-35, Cl-37, Ar-36, Ar-38, Ar-40, K-39, K-40, K-41, Ca-40, Ca-42, Ca-43, Ca-44, Ca-46, Ca-48, Sc-45, Ti-46, Ti-47, Ti-48, Ti-49, Ti-50, V-50, V-51, Cr-50, Cr-52, Cr-53, Cr-54, Mn-55, Fe-54, Fe-56, Fe-57, Fe-58, Co-59, Ni-58, Ni-60, Ni-61, Ni-62, Ni-64, Cu-63, Cu-65, Zn-64, Zn-66, Zn-67, Zn-68, Zn-70, Ga-69, Ga-71, Ge-70, Ge-72, Ge-73, Ge-74
H Table: (M=13.0,Z=0.05)
H Lifetime: 1.707e+07
H Mfinal: 2.235e+00
&Isotopes &Yields     &X0         &Z &A
&Ge-73    &2.875e-06  &0.000e+00  &32 &73
&Ge-74    &9.265e-05  &0.000e+00  &32 &74
H Table: (M=18.0,Z=0.05)
H Lifetime: 1.088e+07
H Mfinal: 3.262e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &5.989e+00  &0.000e+00  &1  &1
&H-2      &2.064e-15  &0.000e+00  &1  &2
&He-3     &2.970e-04  &0.000e+00  &2  &3
&He-4     &5.725e+00  &0.000e+00  &2  &4
&Li-6     &1.142e-21  &0.000e+00  &3  &6
&Li-7     &1.390e-12  &0.000e+00  &3  &7
&Be-9     &1.147e-22  &0.000e+00  &4  &9
&B-10     &3.704e-10  &0.000e+00  &5  &10
&B-11     &1.642e-09  &0.000e+00  &5  &11
&C-12     &2.159e-01  &0.000e+00  &6  &12
&C-13     &3.245e-03  &0.000e+00  &6  &13
&N-14     &1.201e-01  &0.000e+00  &7  &14
&N-15     &3.715e-05  &0.000e+00  &7  &15
&O-16     &1.531e+00  &0.000e+00  &8  &16
&O-17     &4.308e-03  &0.000e+00  &8  &17
&O-18     &3.288e-02  &0.000e+00  &8  &18
&F-19     &1.328e-05  &0.000e+00  &9  &19
&Ne-20    &6.273e-01  &0.000e+00  &10 &20
&Ne-21    &3.673e-03  &0.000e+00  &10 &21
&Ne-22    &1.632e-02  &0.000e+00  &10 &22
&Na-23    &3.563e-02  &0.000e+00  &11 &23
&Mg-24    &1.113e-01  &0.000e+00  &12 &24
&Mg-25    &4.590e-02  &0.000e+00  &12 &25
&Mg-26    &3.279e-02  &0.000e+00  &12 &26
&Al-27    &2.435e-02  &0.000e+00  &13 &27
&Si-28    &4.913e-02  &0.000e+00  &14 &28
&Si-29    &4.143e-03  &0.000e+00  &14 &29
&Si-30    &3.248e-03  &0.000e+00  &14 &30
&P-31     &1.411e-03  &0.000e+00  &15 &31
&S-32     &2.065e-02  &0.000e+00  &16 &32
&S-33     &1.894e-04  &0.000e+00  &16 &33
&S-34     &1.674e-03  &0.000e+00  &16 &34
&S-36     &4.145e-05  &0.000e+00  &16 &36
&Cl-35    &1.447e-04  &0.000e+00  &17 &35
&Cl-37    &2.713e-04  &0.000e+00  &17 &37
&Ar-36    &3.607e-03  &0.000e+00  &18 &36
&Ar-38    &9.874e-04  &0.000e+00  &18 &38
&Ar-40    &8.280e-06  &0.000e+00  &18 &40
&K-39     &1.269e-04  &0.000e+00  &19 &39
&K-40     &1.740e-07  &0.000e+00  &19 &40
&K-41     &3.547e-05  &0.000e+00  &19 &41
&Ca-40    &2.762e-03  &0.000e+00  &20 &40
&Ca-42    &2.831e-05  &0.000e+00  &20 &42
&Ca-43    &6.024e-06  &0.000e+00  &20 &43
&Ca-44    &1.060e-04  &0.000e+00  &20 &44
&Ca-46    &2.318e-06  &0.000e+00  &20 &46
&Ca-48    &5.067e-06  &0.000e+00  &20 &48
&Sc-45    &3.838e-06  &0.000e+00  &21 &45
&Ti-46    &1.260e-05  &0.000e+00  &22 &46
&Ti-47    &1.158e-05  &0.000e+00  &22 &47
&Ti-48    &1.268e-04  &0.000e+00  &22 &48
&Ti-49    &1.014e-05  &0.000e+00  &22 &49
&Ti-50    &1.818e-05  &0.000e+00  &22 &50
&V-50     &5.101e-08  &0.000e+00  &23 &50
&V-51     &1.835e-05  &0.000e+00  &23 &51
&Cr-50    &2.859e-05  &0.000e+00  &24 &50
&Cr-52    &5.958e-04  &0.000e+00  &24 &52
&Cr-53    &6.549e-05  &0.000e+00  &24 &53
&Cr-54    &4.435e-05  &0.000e+00  &24 &54
&Mn-55    &4.685e-04  &0.000e+00  &25 &55
&Fe-54    &2.521e-03  &0.000e+00  &26 &54
&Fe-56    &1.082e-01  &0.000e+00  &26 &56
&Fe-57    &3.848e-03  &0.000e+00  &26 &57
&Fe-58    &1.282e-03  &0.000e+00  &26 &58
&Co-59    &6.695e-04  &0.000e+00  &27 &59
&Ni-58    &4.209e-03  &0.000e+00  &28 &58
&Ni-60    &3.789e-03  &0.000e+00  &28 &60
&Ni-61    &3.711e-04  &0.000e+00  &28 &61
&Ni-62    &1.047e-03  &0.000e+00  &28 &62
&Ni-64    &9.174e-04  &0.000e+00  &28 &64
&Cu-63    &5.091e-04  &0.000e+00  &29 &63
&Cu-65    &1.856e-04  &0.000e+00  &29 &65
&Zn-64    &1.050e-04  &0.000e+00  &30 &64
&Zn-66    &2.657e-04  &0.000e+00  &30 &66
&Zn-67    &5.736e-05  &0.000e+00  &30 &67
&Zn-68    &3.296e-04  &0.000e+00  &30 &68
&Zn-70    &7.953e-06  &0.000e+00  &30 &70
&Ga-69    &3.854e-05  &0.000e+00  &31 &69
&Ga-71    &2.609e-05  &0.000e+00  &31 &71
&Ge-70    &5.669e-05  &0.000e+00  &32 &70
&Ge-72    &8.671e-05  &0.000e+00  &32 &72
&Ge-73    &1.939e-05  &0.000e+00  &32 &73
&Ge-74    &2.799e-04  &0.000e+00  &32 &74
H Table: (M=20.0,Z=0.05)
H Lifetime: 9.589e+06
H Mfinal: 4.301e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &6.070e+00  &0.000e+00  &1  &1
&H-2      &6.041e-14  &0.000e+00  &1  &2
&He-3     &1.978e-04  &0.000e+00  &2  &3
&He-4     &5.931e+00  &0.000e+00  &2  &4
&Li-6     &4.445e-21  &0.000e+00  &3  &6
&Li-7     &1.851e-11  &0.000e+00  &3  &7
&Be-9     &1.257e-21  &0.000e+00  &4  &9
&B-10     &3.841e-10  &0.000e+00  &5  &10
&B-11     &1.272e-09  &0.000e+00  &5  &11
&C-12     &3.128e-01  &0.000e+00  &6  &12
&C-13     &3.305e-03  &0.000e+00  &6  &13
&N-14     &1.281e-01  &0.000e+00  &7  &14
&N-15     &1.004e-05  &0.000e+00  &7  &15
&O-16     &1.919e+00  &0.000e+00  &8  &16
&O-17     &4.542e-03  &0.000e+00  &8  &17
&O-18     &3.788e-02  &0.000e+00  &8  &18
&F-19     &1.877e-05  &0.000e+00  &9  &19
&Ne-20    &6.370e-01  &0.000e+00  &10 &20
&Ne-21    &5.258e-03  &0.000e+00  &10 &21
&Ne-22    &2.239e-02  &0.000e+00  &10 &22
&Na-23    &4.198e-02  &0.000e+00  &11 &23
&Mg-24    &1.124e-01  &0.000e+00  &12 &24
&Mg-25    &5.567e-02  &0.000e+00  &12 &25
&Mg-26    &4.107e-02  &0.000e+00  &12 &26
&Al-27    &2.924e-02  &0.000e+00  &13 &27
&Si-28    &1.161e-01  &0.000e+00  &14 &28
&Si-29    &7.021e-03  &0.000e+00  &14 &29
&Si-30    &8.708e-03  &0.000e+00  &14 &30
&P-31     &2.459e-03  &0.000e+00  &15 &31
&S-32     &5.119e-02  &0.000e+00  &16 &32
&S-33     &4.583e-04  &0.000e+00  &16 &33
&S-34     &4.746e-03  &0.000e+00  &16 &34
&S-36     &6.087e-05  &0.000e+00  &16 &36
&Cl-35    &2.294e-04  &0.000e+00  &17 &35
&Cl-37    &3.850e-04  &0.000e+00  &17 &37
&Ar-36    &8.193e-03  &0.000e+00  &18 &36
&Ar-38    &1.777e-03  &0.000e+00  &18 &38
&Ar-40    &9.754e-06  &0.000e+00  &18 &40
&K-39     &1.588e-04  &0.000e+00  &19 &39
&K-40     &3.093e-07  &0.000e+00  &19 &40
&K-41     &4.409e-05  &0.000e+00  &19 &41
&Ca-40    &6.664e-03  &0.000e+00  &20 &40
&Ca-42    &4.717e-05  &0.000e+00  &20 &42
&Ca-43    &6.609e-06  &0.000e+00  &20 &43
&Ca-44    &7.480e-05  &0.000e+00  &20 &44
&Ca-46    &3.115e-06  &0.000e+00  &20 &46
&Ca-48    &5.361e-06  &0.000e+00  &20 &48
&Sc-45    &4.900e-06  &0.000e+00  &21 &45
&Ti-46    &1.997e-05  &0.000e+00  &22 &46
&Ti-47    &1.044e-05  &0.000e+00  &22 &47
&Ti-48    &1.607e-04  &0.000e+00  &22 &48
&Ti-49    &1.709e-05  &0.000e+00  &22 &49
&Ti-50    &2.440e-05  &0.000e+00  &22 &50
&V-50     &1.349e-07  &0.000e+00  &23 &50
&V-51     &2.559e-05  &0.000e+00  &23 &51
&Cr-50    &8.004e-05  &0.000e+00  &24 &50
&Cr-52    &1.906e-03  &0.000e+00  &24 &52
&Cr-53    &2.100e-04  &0.000e+00  &24 &53
&Cr-54    &5.550e-05  &0.000e+00  &24 &54
&Mn-55    &1.069e-03  &0.000e+00  &25 &55
&Fe-54    &7.057e-03  &0.000e+00  &26 &54
&Fe-56    &1.095e-01  &0.000e+00  &26 &56
&Fe-57    &3.108e-03  &0.000e+00  &26 &57
&Fe-58    &1.676e-03  &0.000e+00  &26 &58
&Co-59    &7.939e-04  &0.000e+00  &27 &59
&Ni-58    &4.097e-03  &0.000e+00  &28 &58
&Ni-60    &2.464e-03  &0.000e+00  &28 &60
&Ni-61    &3.819e-04  &0.000e+00  &28 &61
&Ni-62    &1.183e-03  &0.000e+00  &28 &62
&Ni-64    &1.324e-03  &0.000e+00  &28 &64
&Cu-63    &6.519e-04  &0.000e+00  &29 &63
&Cu-65    &2.871e-04  &0.000e+00  &29 &65
&Zn-64    &6.591e-05  &0.000e+00  &30 &64
&Zn-66    &3.967e-04  &0.000e+00  &30 &66
&Zn-67    &9.802e-05  &0.000e+00  &30 &67
&Zn-68    &5.341e-04  &0.000e+00  &30 &68
&Zn-70    &2.837e-05  &0.000e+00  &30 &70
&Ga-69    &6.617e-05  &0.000e+00  &31 &69
&Ga-71    &3.878e-05  &0.000e+00  &31 &71
&Ge-70    &8.244e-05  &0.000e+00  &32 &70
&Ge-72    &1.446e-04  &0.000e+00  &32 &72
&Ge-73    &3.403e-05  &0.000e+00  &32 &73
&Ge-74    &4.470e-04  &0.000e+00  &32 &74
H Table: (M=25.0,Z=0.05)
H Lifetime: 7.580e+06
H Mfinal: 7.623e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &5.869e+00  &0.000e+00  &1  &1
&H-2      &3.763e-14  &0.000e+00  &1  &2
&He-3     &2.432e-04  &0.000e+00  &2  &3
&He-4     &6.084e+00  &0.000e+00  &2  &4
&Li-6     &1.269e-21  &0.000e+00  &3  &6
&Li-7     &2.446e-11  &0.000e+00  &3  &7
&Be-9     &1.388e-22  &0.000e+00  &4  &9
&B-10     &2.669e-10  &0.000e+00  &5  &10
&B-11     &8.763e-10  &0.000e+00  &5  &11
&C-12     &2.032e-01  &0.000e+00  &6  &12
&C-13     &1.881e-03  &0.000e+00  &6  &13
&N-14     &1.364e-01  &0.000e+00  &7  &14
&N-15     &6.121e-04  &0.000e+00  &7  &15
&O-16     &3.009e+00  &0.000e+00  &8  &16
&O-17     &4.656e-03  &0.000e+00  &8  &17
&O-18     &1.663e-02  &0.000e+00  &8  &18
&F-19     &1.916e-04  &0.000e+00  &9  &19
&Ne-20    &9.585e-01  &0.000e+00  &10 &20
&Ne-21    &3.490e-03  &0.000e+00  &10 &21
&Ne-22    &2.735e-02  &0.000e+00  &10 &22
&Na-23    &4.130e-02  &0.000e+00  &11 &23
&Mg-24    &2.000e-01  &0.000e+00  &12 &24
&Mg-25    &6.577e-02  &0.000e+00  &12 &25
&Mg-26    &5.950e-02  &0.000e+00  &12 &26
