[Star/Star] [Fe/H] [FeI/H] [C/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Y/Fe] [Ba/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
 94129 -0.27 -0.27  0.23  0.45  0.04  0.25  0.24  0.15  0.03  0.10  0.14  0.11 -0.01 -0.17  0.10  0.01  0.03  0.13 -30.0  0.06   -0.04    0.08    0.30
 96185 -0.56 -0.56  0.30  0.68  0.15  0.22  0.31  0.22  0.19  0.07  0.16  0.09 -0.09 -0.32  0.10 -30.0 -0.03  0.04  0.01 -0.34   -0.06    0.17    0.20
 96902 -0.29 -0.29  0.20  0.34  0.12  0.25  0.25  0.14  0.14  0.06  0.17  0.14 -0.02 -0.17  0.09  0.03  0.09  0.08 -0.15 -0.22   -0.06   -0.02    0.14
 97846 -0.18 -0.18  0.38  0.45  0.04 -30.0  0.23  0.14  0.10  0.11  0.10  0.07  0.01  0.02  0.08  0.04  0.08  0.19 -0.08 -0.02    0.03    0.19    0.12
 98020 -1.61 -1.61 -30.0  1.10  0.25  0.31 -30.0  0.44  0.20  0.22  0.03  0.39 -0.16 -0.48  0.16 -30.0 -0.66  0.56 -0.01 -0.04    0.65    0.57   -30.0
 98532 -1.13 -1.13 -30.0  0.65  0.01  0.34  0.33  0.29  0.25 -0.03  0.15  0.10 -0.03 -0.44  0.03 -30.0 -0.40  0.07  0.20  0.04    0.05    0.23    0.31
 99224 -0.12 -0.12  0.18  0.40  0.05  0.01  0.16  0.14 -30.0 -30.0 -0.01 -30.0 -0.04 -0.16  0.02 -0.02  0.05  0.07 -0.04 -0.12   -30.0    0.14    0.08
104659 -1.07 -1.07  0.47  0.75  0.06  0.35  0.26  0.25  0.18  0.06  0.31  0.11 -0.19 -0.56 -0.06 -0.05 -0.23  0.11 -0.12 -0.18   -30.0   -30.0    0.27
106947 -0.35 -0.35  0.43  0.34 -0.01 -30.0  0.15  0.15  0.09  0.21  0.20  0.20 -0.02 -0.05  0.12  0.05  0.11  0.13 -30.0  0.05    0.28    0.24    0.47
107294 -1.14 -1.14 -30.0  0.73  0.23  0.25  0.26  0.25  0.22  0.09  0.27  0.24 -0.03 -0.28  0.25  0.11 -0.50  0.04  0.22  0.11   -30.0   -30.0   -30.0
108056  0.14  0.14  0.20  0.25 -30.0  0.09  0.03  0.07 -0.08  0.08 -0.13 -0.01 -0.06 -0.14 -0.03 -0.01  0.04  0.04  0.06  0.15   -0.05   -30.0   -0.12
109384 -0.38 -0.38  0.50  0.65  0.02  0.30  0.17  0.26  0.10  0.20  0.12  0.24 -0.04 -0.06  0.16  0.04  0.04  0.19  0.13 -0.20    0.29    0.17    0.34
110291 -0.93 -0.93  0.52  0.82  0.06  0.36  0.17  0.21  0.11  0.15  0.12  0.11 -0.12 -0.41  0.04 -0.04 -0.21  0.09  0.03 -0.03   -30.0    0.03    0.40
111517 -0.45 -0.45  0.44  0.49  0.17  0.31  0.36  0.23  0.15  0.07  0.18  0.10  0.06 -0.13  0.18  0.09  0.16  0.16 -0.08 -0.22   -0.11   -0.02    0.36
