[Fe/H] [C/Fe] [N/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Zn/Fe] [Ga/Fe] [Ge/Fe] [Sr/Fe] [Y/Fe] [Zr/Fe] [Nb/Fe] [Mo/Fe] [Ru/Fe] [Rh/Fe] [Pd/Fe] [Ag/Fe] [Ba/Fe] [La/Fe] [Ce/Fe] [Pr/Fe] [Nd/Fe] [Sm/Fe] [Eu/Fe] [Gd/Fe] [Tb/Fe] [Dy/Fe] [Ho/Fe] [Er/Fe] [Tm/Fe] [Yb/Fe] [Lu/Fe] [Hf/Fe] [Os/Fe] [Ir/Fe] [Pt/Fe] [Au/Fe] [Pb/Fe] [Th/Fe] [U/Fe]
-0.86 -30.0 -30.0 +0.46 +0.39 +0.49 +0.51 +0.46 +0.41 -30.0 +0.45 +0.26 +0.24 -30.0 -30.0 +0.22 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.04 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0  
-1.25 -30.0 -30.0 +0.57 +0.21 +0.58 +0.51 +0.57 +0.43 -30.0 +0.43 +0.18 +0.32 -30.0 -30.0 +0.13 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.24 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0  
-2.33 -30.0 -30.0 +0.67 -0.03 +0.59 -30.0 +0.44 +0.49 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.57 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0      
-1.17 -30.0 -30.0 +0.63 +0.28 +0.53 +0.51 +0.48 +0.45 +0.33 +0.62 +0.28 +0.17 -30.0 -30.0 +0.23 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.03 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0      
-1.34 -30.0 -30.0 +0.63 +0.21 +0.58 +0.60 +0.59 +0.48 -30.0 -30.0 +0.26 +0.25 -30.0 -30.0 +0.31 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.17 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0      
-1.94 -30.0 -30.0 +0.31 +0.41 +0.49 -30.0 +0.47 +0.57 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.18 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0  
-1.26 -30.0 -30.0 +0.51 +0.19 +0.57 +0.53 +0.51 +0.48 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.12 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0      
-1.27 -30.0 -30.0 +0.50 +0.30 +0.49 +0.46 +0.44 +0.39 -30.0 +0.49 +0.33 +0.08 -30.0 -30.0 +0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.11 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0  
-3.16 -30.0 -30.0 -30.0 -30.0 +0.81 -30.0 -30.0 +0.87 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.56 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0      
-1.60 -30.0 -30.0 +0.47 -0.02 +0.49 +0.22 +0.46 +0.48 +0.30 -30.0 +0.20 +0.44 -30.0 -30.0 +0.04 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.14 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0  
