[Fe/H] [Sc/H] [V/H] [Mn/H] [Co/H]
-3.00e-02 -3.00e+01 -3.00e+01 -1.00e-02 -3.00e-02
-5.60e-01 -4.60e-01 -3.00e+01 -8.50e-01 -4.10e-01
-1.10e-01 -1.30e-01 3.40e-01 8.00e-02 -9.00e-02
-5.20e-01 -1.20e-01 -2.80e-01 -3.00e+01 -3.00e+01
-1.51e+00 -1.43e+00 -3.00e+01 -2.09e+00 -3.00e+01
-9.40e-01 -7.40e-01 -3.00e+01 -3.00e+01 -3.00e+01
-1.10e-01 -7.00e-02 -1.70e-01 -2.90e-01 -1.60e-01
-7.80e-01 -5.90e-01 -3.00e+01 -1.11e+00 -6.10e-01
-8.10e-01 -6.80e-01 -5.10e-01 -1.02e+00 -5.60e-01
-8.10e-01 -6.50e-01 -5.80e-01 -1.18e+00 -6.70e-01
-1.39e+00 -1.44e+00 -9.30e-01 -1.71e+00 -3.00e+01
-1.46e+00 -1.58e+00 -1.20e+00 -1.76e+00 -3.00e+01
6.00e-02 7.00e-02 7.00e-02 2.00e-02 6.00e-02
