[Fe/H] err  [O/Fe] err  [Na/Fe] err [Mg/Fe] err [Al/Fe] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Cr/Fe] err [Ni/Fe] err [Zn/Fe] err [Y/Fe] err [Ba/Fe] err
 0.04  0.07  0.07  0.14  0.02  0.05  0.14  0.06  0.19  0.06  0.07  0.05  0.07  0.05  0.10  0.05 -0.02  0.06  0.02  0.07  0.11  0.06 -0.14  0.12 -0.05  0.09
-0.28  0.06  0.39  0.15  0.00  0.06  0.14  0.04  0.16  0.04  0.11  0.07  0.03  0.10  0.17  0.05  0.04  0.08 -0.01  0.07  0.07  0.09  0.09  0.17 -0.08  0.08
-0.05  0.06  0.22  0.14  0.05  0.05  0.14  0.06  0.19  0.04  0.11  0.05  0.08  0.06  0.14  0.07 -0.01  0.08  0.03  0.05  0.22  0.07 -0.07  0.15 -0.05  0.08
 0.08  0.05 -0.04  0.12  0.08  0.03  0.10  0.04  0.09  0.03  0.05  0.03  0.01  0.04  0.01  0.06 -0.01  0.06  0.01  0.05  0.17  0.09 -0.12  0.13 -0.05  0.07
-0.01  0.05 -0.04  0.11  0.03  0.04  0.00  0.05  0.04  0.03  0.02  0.03  0.04  0.04  0.04  0.06 -0.01  0.06 -0.01  0.04 -0.03  0.05 -0.11  0.12 -0.10  0.08
 0.03  0.04  0.16  0.08  0.14  0.08  0.27  0.08  0.14  0.05  0.13  0.03  0.13  0.04  0.10  0.08  0.00  0.08 -0.02  0.04  0.10  0.05 -0.13  0.16  0.07  0.11
-0.19  0.06 -30.0 -30.0  0.07  0.06  0.05  0.20  0.09  0.06  0.05  0.04  0.08  0.06  0.05  0.12 -0.05  0.14 -0.03  0.06 -0.10  0.03  0.08  0.21  0.43  0.10
-0.12  0.04 -0.05  0.10  0.02  0.03  0.01  0.03  0.01  0.03 -0.01  0.02  0.00  0.03 -0.03  0.06 -0.04  0.06 -0.05  0.04 -0.01  0.11 -0.11  0.11 -0.03  0.06
 0.34  0.11 -0.18  0.20  0.17  0.09 -0.07  0.08 -0.01  0.06  0.02  0.07 -0.05  0.07  0.05  0.10  0.03  0.11  0.07  0.08  0.04  0.11  0.03  0.21 -0.07  0.14
 0.12  0.07  0.01  0.14  0.00  0.04  0.09  0.07  0.07  0.04  0.00  0.05 -0.03  0.04  0.04  0.06 -0.02  0.07 -0.01  0.06  0.00  0.07 -0.07  0.14 -0.12  0.09
-0.51  0.09  0.30  0.24  0.02  0.09  0.08  0.08  0.13  0.07  0.10  0.13  0.01  0.15  0.12  0.08  0.05  0.10  0.00  0.10  0.10  0.13  0.07  0.23  0.07  0.08
